
T: SNK Crushers		
Mike Montgomery	 "(ChC - SP	RP)"		
David Phelps	 "(Mia - SP	RP)"		
Mark Reynolds	 "(Col - 1B	3B	OF)"		
Matt Joyce	 "(Pit - OF)"		
Brandon Moss	 "(StL - 1B	OF)"	14	10
Luis Valbuena	 "(Hou - 1B	3B)"		
Justin Bour	 "(Mia - 1B)"	22	17
Matt Holliday	 "(StL - 1B	OF)"	2	2
Kyle Schwarber	 "(ChC - C	OF)"	25	20
Tony Barnette	 "(Tex - RP)"		
Matt Moore	 "(SF - SP)"	11	7
Andrew Heaney	 "(LAA - SP)"	24	19
T: Clement St. Massive		
Chris Iannetta	 "(Sea - C)"		
Eric Hosmer	 "(KC - 1B)"	8	5
Brett Lawrie	 "(CWS - 2B	3B)"	7	5
Adrián Béltre	 "(Tex - 3B)"	1	1
José Ramírez	 "(Cle - 2B	3B	SS	OF)"	21	16
Denard Span	 "(SF - CF)"	10	7
Ryan Braun	 "(Mil - OF)"	2	2
Josh Reddick	 "(LAD - OF)"	9	6
Travis Shaw	 "(Bos - 1B	3B)"	15	11
Taijuan Walker	 "(Sea - SP)"	20	16
Wade Miley	 "(Bal - SP)"	6	4
R.A. Dickey	 "(Tor - SP)"	3	2
Steven Wright	 "(Bos - SP	RP)"		
Robert Gsellman	 "(NYM - SP)"		
Mark Melancon	 "(Was - RP)"	16	12
Arodys Vizcaíno	 "(Atl - RP)"	19	15
Álex Colomé	 "(TB - SP	RP)"		
C.J. Cron	 "(LAA - 1B)"	22	17
Mike Napoli	 "(Cle - 1B	OF)"	4	3
Pedro Álvarez	 "(Bal - 1B	3B)"		
Chris Herrmann	 "(Ari - C	OF)"		
Tim Anderson	 "(CWS - SS)"	0	25
Michael Brantley	 "(Cle - CF)"	5	3
Júnior Guerra	 "(Mil - SP	RP)"		
T: Ken Phelps All Stars		
Brian McCann	 "(NYY - C	1B)"	6	4
David Ortiz	 "(Bos - 1B)"	1	1
Marwin González	 "(Hou - 1B	2B	3B	SS	OF)"		
Yunel Escobar	 "(LAA - 3B)"	23	18
Aledmys Diaz	 "(StL - 2B	SS)"		
Ender Inciarte	 "(Atl - CF)"	24	19
Hunter Pence	 "(SF - OF)"	4	3
Eddie Rosario	 "(Min - CF)"		
Chris Carter	 "(Mil - 1B)"	10	7
Tom Koehler	 "(Mia - SP)"	20	16
Adam Wainwright	 "(StL - SP)"	2	2
Chris Young	 "(KC - SP	RP)"	14	10
Rick Porcello	 "(Bos - SP)"	3	2
Christian Friedrich	 "(SD - SP	RP)"		
Steve Cishek	 "(Sea - RP)"		
Nate Jones	 "(CWS - RP)"		
Jason Grilli	 "(Tor - RP)"		
Santiago Casilla	 "(SF - RP)"		
Steven Souza Jr.	 "(TB - OF)"		
Steve Pearce	 "(Bal - 1B	2B	OF)"	18	14
Dilson Herrera	 "(NYM - 2B)"	25	20
Adam LaRoche	 "(CWS - 1B)"		
Neil Walker	 "(NYM - 2B)"	8	5
Trayce Thompson	 "(LAD - CF)"		
Mike Leake	 "(StL - SP)"	11	7
Jordan Zimmermann	 "(Det - SP)"		
Brett Cecil	 "(Tor - RP)"	21	16
Robbie Erlin	 "(SD - SP)"	15	11
T: The Amazin Ukrainian		
Wilson Ramos	 "(Was - C)"	10	7
Jonathan Schoop	 "(Bal - 2B)"	14	10
Todd Frazier	 "(CWS - 1B	3B)"	11	7
Zack Cozart	 "(Cin - SS)"		
Brett Gardner	 "(NYY - CF)"	4	3
Nelson Cruz	 "(Sea - OF)"	3	2
Matt Kemp	 "(Atl - OF)"	2	2
Jorge Soler	 "(ChC - OF)"	25	20
Carlos Martínez	 "(StL - SP)"		
Michael Pineda	 "(NYY - SP)"	8	5
Rich Hill	 "(LAD - SP)"	21	16
Kyle Gibson	 "(Min - SP)"	13	9
Seung Hwan Oh	 "(StL - RP)"		
Matt Andriese	 "(TB - SP	RP)"		
Bud Norris	 "(LAD - SP	RP)"	8	5
Derek Dietrich	 "(Mia - 1B	2B	3B	OF)"	22	17
Delino DeShields	 "(Tex - CF)"	9	6
Aaron Hicks	 "(NYY - CF)"	15	11
Kolten Wong	 "(StL - 2B	CF)"	7	5
Ben Zobrist	 "(ChC - 2B	OF)"	3	2
Jimmy Nelson	 "(Mil - SP)"	12	8
Héctor Santiago	 "(Min - SP)"		
Henry Owens	 "(Bos - SP)"	23	18
Ariel Miranda	 "(Sea - SP	RP)"		
Cody Reed	 "(Cin - SP)"		
Pedro Strop	 "(ChC - RP)"		
Lance McCullers	 "(Hou - SP)"	24	19
T: Necessarily Possible		
Kurt Suzuki	 "(Min - C)"		
John Jaso	 "(Pit - 1B	OF)"	17	13
Ian Kinsler	 "(Det - 2B)"	2	2
Yangervis Solarte	 "(SD - 1B	2B	3B)"		
Jordy Mercer	 "(Pit - SS)"		
Christian Yelich	 "(Mia - CF)"	4	3
Odubel Herrera	 "(Phi - CF)"	14	10
Seth Smith	 "(Sea - OF)"		
Curtis Granderson	 "(NYM - CF)"	6	4
Chris Sale	 "(CWS - SP)"	5	3
Jake Odorizzi	 "(TB - SP)"	20	16
Ervin Santana	 "(Min - SP)"	7	5
Julio Teherán	 "(Atl - SP)"		
Matt Cain	 "(SF - SP)"	1	1
Brad Brach	 "(Bal - RP)"	22	17
Drew Pomeranz	 "(Bos - SP	RP)"	12	8
Alex Wilson	 "(Det - RP)"	23	18
Brandon Maurer	 "(SD - RP)"	21	16
Brock Holt	 "(Bos - 1B	2B	3B	SS	OF)"	19	15
Cody Asche	 "(Phi - 3B	OF)"	15	11
Michael Conforto	 "(NYM - CF)"	24	19
Matt Wieters	 "(Bal - C)"	8	5
Noah Syndergaard	 "(NYM - SP)"	25	20
Randall Delgado	 "(Ari - RP)"	10	7
Tyler Chatwood	 "(Col - SP	RP)"	13	9
T: Maya's Mysteries		
Buster Posey	 "(SF - C	1B)"	5	3
Justin Turner	 "(LAD - 1B	3B)"	14	10
José Altuve	 "(Hou - 2B)"	7	5
Danny Valencia	 "(Oak - 1B	3B	OF)"	21	16
Carlos Correa	 "(Hou - SS)"	25	20
Adam Jones	 "(Bal - CF)"	1	1
Charlie Blackmon	 "(Col - CF)"	4	3
Kris Bryant	 "(ChC - 1B	3B	OF)"	24	19
José Reyes	 "(NYM - 3B	SS)"	12	8
Jake Arrieta	 "(ChC - SP)"	6	4
Jason Hammel	 "(ChC - SP)"	11	7
Félix Hernández	 "(Sea - SP)"	2	2
John Lackey	 "(ChC - SP)"	10	7
Drew Smyly	 "(TB - SP)"	3	2
Aroldis Chapman	 "(ChC - RP)"	8	5
Juan Nicasio	 "(Pit - SP	RP)"	13	9
Michael Feliz	 "(Hou - RP)"		
Ryan Dull	 "(Oak - RP)"		
Yuli Gurriel	 "(Hou - 3B)"		
Starling Marte	 "(Pit - CF)"	5	3
Josh Harrison	 "(Pit - 2B	3B	OF)"	15	11
Chris Taylor	 "(LAD - 2B	3B	SS)"		
Shin-soo Choo	 "(Tex - OF)"	5	3
Will Harris	 "(Hou - RP)"		
Ken Giles	 "(Hou - RP)"	18	14
Stephen Strasburg	 "(Was - SP)"	4	3
Gerrit Cole	 "(Pit - SP)"	16	12
Brandon McCarthy	 "(LAD - SP)"		
T: The Outliers		
Yadier Molina	 "(StL - C)"	11	7
Mark Teixeira	 "(NYY - 1B)"	8	5
Jurickson Profar	 "(Tex - 1B	2B	3B	SS	OF)"	16	12
Trevor Plouffe	 "(Min - 1B	3B)"	18	14
Xander Bogaerts	 "(Bos - SS)"	20	16
Andrew McCutchen	 "(Pit - CF)"	3	2
Jason Heyward	 "(ChC - CF)"	5	3
Jayson Werth	 "(Was - OF)"		
Ichiro Suzuki	 "(Mia - CF)"		
Kyle Hendricks	 "(ChC - SP)"	4	3
Gio González	 "(Was - SP)"		
Edinson Vólquez	 "(KC - SP)"		
Jake Peavy	 "(SF - SP	RP)"	7	5
Hunter Strickland	 "(SF - RP)"	17	13
Kevin Jepsen	 "(TB - RP)"		
Heath Hembree	 "(Bos - RP)"		
Martín Prado	 "(Mia - 2B	3B)"	24	19
Justin Smoak	 "(Tor - 1B)"	21	16
Adrián González	 "(LAD - 1B)"		
Norichika Aoki	 "(Sea - CF)"		
Evan Gattis	 "(Hou - C	OF)"	6	4
Fernando Rodney	 "(Mia - RP)"		
Michael Tonkin	 "(Min - RP)"		
Dan Otero	 "(Cle - RP)"		
Aaron Blair	 "(Atl - SP)"	0	25
Koji Uehara	 "(Bos - RP)"	25	20
T: Chibe's Crushers '13		
Salvador Pérez	 "(KC - C)"	6	4
Mitch Moreland	 "(Tex - 1B)"		
Dee Gordon	 "(Mia - 2B)"	18	14
Jonathan Villar	 "(Mil - 2B	3B	SS)"	17	13
Elvis Andrus	 "(Tex - SS)"	5	3
Carlos Gómez	 "(Tex - CF)"		
Rajai Davis	 "(Cle - CF)"	19	15
Hernán Pérez	 "(Mil - 2B	3B	CF)"		
Howie Kendrick	 "(LAD - 1B	2B	3B	OF)"	13	9
José Quintana	 "(CWS - SP)"		
Scott Kazmir	 "(LAD - SP)"	2	2
Mike Fiers	 "(Hou - SP)"	19	15
Zach Davies	 "(Mil - SP)"		
Andrew Cashner	 "(Mia - SP)"	4	3
Tyler Clippard	 "(NYY - RP)"		
A.J. Ramos	 "(Mia - RP)"	6	4
Sam Dyson	 "(Tex - RP)"		
Jeurys Familia	 "(NYM - RP)"	24	19
Aaron Hill	 "(Bos - 2B	3B)"		
Gerardo Parra	 "(Col - 1B	CF)"	25	20
Matt Carpenter	 "(StL - 1B	2B	3B)"	3	2
Sean Doolittle	 "(Oak - RP)"	11	7
Jeremy Jeffress	 "(Tex - RP)"		
A.J. Griffin	 "(Tex - SP)"		
Jon Gray	 "(Col - SP)"	0	25
Matt Harvey	 "(NYM - SP)"	12	8
T: Mike Kingery		
Russell Martin	 "(Tor - C)"	10	7
Paul Goldschmidt	 "(Ari - 1B)"	2	2
Devon Travis	 "(Tor - 2B)"	19	15
César Hernández	 "(Phi - 2B	3B	SS)"	11	7
Trevor Story	 "(Col - SS)"		
Jacoby Ellsbury	 "(NYY - CF)"	4	3
Hanley Ramírez	 "(Bos - 1B	OF)"	5	3
Carlos Beltrán	 "(Tex - OF)"	9	6
Melky Cabrera	 "(CWS - OF)"	7	5
Kendall Graveman	 "(Oak - SP)"	13	9
J.A. Happ	 "(Tor - SP)"	23	18
Jeff Samardzija	 "(SF - SP)"	1	1
Logan Verrett	 "(NYM - SP	RP)"		
Shelby Miller	 "(Ari - SP)"	16	12
Roberto Osuna	 "(Tor - RP)"	25	20
Jake McGee	 "(Col - RP)"	12	8
Sergio Romo	 "(SF - RP)"	17	13
Cam Bedrosian	 "(LAA - RP)"		
Scooter Gennett	 "(Mil - 2B)"		
Jarrod Dyson	 "(KC - CF)"		
Alex Gordon	 "(KC - OF)"	3	2
Micah Johnson	 "(LAD - 2B)"	18	14
Austin Hedges	 "(SD - C)"	24	19
Logan Morrison	 "(TB - 1B)"	22	17
Ryan Zimmerman	 "(Was - 1B)"	6	4
Mike Moustakas	 "(KC - 3B)"	8	5
Chris Tillman	 "(Bal - SP)"	20	16
T: NYY's Dirty Sanchez		
Gary Sánchez	 "(NYY - C)"	12	8
Víctor Martínez	 "(Det - 1B)"	6	4
José Peraza	 "(Cin - 2B	SS	CF)"	24	19
Daniel Murphy	 "(Was - 1B	2B	3B)"	5	3
Eduardo Núñez	 "(SF - 3B	SS)"		
Trea Turner	 "(Was - 2B	CF)"	0	25
Domingo Santana	 "(Mil - CF)"	21	16
Adam Duvall	 "(Cin - OF)"		
Willson Contreras	 "(ChC - C	OF)"	22	17
Trevor Bauer	 "(Cle - SP	RP)"	20	16
Hisashi Iwakuma	 "(Sea - SP)"	2	2
Tyler Skaggs	 "(LAA - SP)"	11	7
Ian Kennedy	 "(KC - SP)"	4	3
Jharel Cotton	 "(Oak - SP	RP)"	14	10
Edwin Díaz	 "(Sea - SP	RP)"		
Chris Devenski	 "(Hou - SP	RP)"		
Luis Cessa	 "(NYY - SP	RP)"		
Vince Velásquez	 "(Phi - SP	RP)"		
Keon Broxton	 "(Mil - CF)"		
A.J. Pollock	 "(Ari - CF)"	16	12
Joe Mauer	 "(Min - 1B)"	8	5
Robbie Ray	 "(Ari - SP)"	19	15
Blake Snell	 "(TB - SP)"	0	25
Archie Bradley	 "(Ari - SP)"	20	16
Wily Peralta	 "(Mil - SP)"	17	13
Tyson Ross	 "(SD - SP)"	13	9
T: Quantum Fastball		
Travis d'Arnaud	 "(NYM - C)"	20	16
Adam Lind	 "(Sea - 1B)"	9	6
Robinson Canó	 "(Sea - 2B)"		
Nolan Arenado	 "(Col - 3B)"	15	11
Starlin Castro	 "(NYY - 2B	SS)"	4	3
Adam Eaton	 "(CWS - CF)"	8	5
Carlos González	 "(Col - OF)"	1	1
Joc Pederson	 "(LAD - CF)"	13	9
Ben Paulsen	 "(Col - 1B	OF)"	11	7
Chris Archer	 "(TB - SP)"	3	2
Madison Bumgarner	 "(SF - SP)"	5	3
Clay Buchholz	 "(Bos - SP	RP)"	6	4
José Fernández	 "(Mia - SP)"	16	12
Aaron Nola	 "(Phi - SP)"	25	20
Andrew Miller	 "(Cle - RP)"	18	14
Aarón Sánchez	 "(Tor - SP	RP)"		
Álex Rodríguez	 "(NYY - Util)"		
Jedd Gyorko	 "(StL - 1B	2B	3B	SS)"		
Colby Rasmus	 "(Hou - CF)"	14	10
Michael Saunders	 "(Tor - OF)"	17	13
Yu Darvish	 "(Tex - SP)"	12	8
Drew Hutchison	 "(Pit - SP	RP)"	19	15
Michael Fulmer	 "(Det - SP)"	21	16
Joe Musgrove	 "(Hou - SP)"	22	17
J.T. Chargois	 "(Min - RP)"		
T: Peaches		
Yasmani Grandal	 "(LAD - C)"	12	8
Carlos Santana	 "(Cle - 1B)"	3	2
Brian Dozier	 "(Min - 2B)"	15	11
Eugenio Suárez	 "(Cin - 3B	SS)"	25	20
Corey Seager	 "(LAD - SS)"	0	25
Randal Grichuk	 "(StL - CF)"	19	15
Khris Davis	 "(Oak - OF)"	16	12
Corey Dickerson	 "(TB - OF)"	11	7
Chris Davis	 "(Bal - 1B	OF)"	7	5
Cole Hamels	 "(Tex - SP)"	1	1
Zack Greinke	 "(Ari - SP)"	2	2
Jeremy Hellickson	 "(Phi - SP)"	10	7
Francisco Liriano	 "(Tor - SP)"	3	2
James Shields	 "(CWS - SP)"	1	1
Marco Estrada	 "(Tor - SP	RP)"	9	6
Michael Lorenzen	 "(Cin - SP	RP)"		
Kevin Siegrist	 "(StL - RP)"	24	19
Hansel Robles	 "(NYM - RP)"		
Jay Bruce	 "(NYM - OF)"	6	4
Melvin Upton Jr.	 "(Tor - CF)"		
David Freese	 "(Pit - 1B	3B)"		
Cameron Maybin	 "(Det - CF)"	21	16
Andre Ethier	 "(LAD - OF)"	14	10
Dallas Keuchel	 "(Hou - SP)"	18	14
Liam Hendriks	 "(Oak - RP")	20	16
Homer Bailey	 "(Cin - SP)"	8	5
Josh Tomlin	 "(Cle - SP)"	17	13
Trevor May	 "(Min - SP	RP)"	23	18
